Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 59.91ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 60.08ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 55.81ms
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 80.14ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 76.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 72.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 75.94ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 76.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 75.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 72.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 75.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 76.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 71.80ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 88.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 67.78ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 72.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 71.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 76.04ms
